name,value
Ba Đình, Ba Đình
Hoàn Kiếm, Hoàn Kiếm
Tây Hồ, Tây Hồ
Long Biên, Long Biên
Cầu Giấy, Cầu Giấy
Đống Đa, Đống Đa
Hai Bà Trưng, Hai Bà Trưng
Hoàng Mai, Hoàng Mai
Thanh Xuân, Thanh Xuân
Sóc Sơn, Sóc Sơn
Đông Anh, Đông Anh
Gia Lâm, Gia Lâm
Nam Từ Liêm, Nam Từ Liêm
Thanh Trì, Thanh Trì
Bắc Từ Liêm, Bắc Từ Liêm
Mê Linh, Mê Linh
Hà Đông, Hà Đông
Sơn Tây, Sơn Tây
Ba Vì, Ba Vì
Phúc Thọ, Phúc Thọ
Đan Phượng, Đan Phượng
Hoài Đức, Hoài Đức
Quốc Oai, Quốc Oai
Thạch Thất, Thạch Thất
Chương Mỹ, Chương Mỹ
Thanh Oai, Thanh Oai
Thường Tín, Thường Tín
Phú Xuyên, Phú Xuyên
Ứng Hòa, Ứng Hòa
Mỹ Đức, Mỹ Đức
Hà Giang, Hà Giang
Đồng Văn, Đồng Văn
Mèo Vạc, Mèo Vạc
Yên Minh, Yên Minh
Quản Bạ, Quản Bạ
Vị Xuyên, Vị Xuyên
Bắc Mê, Bắc Mê
Hoàng Su Phì, Hoàng Su Phì
Xín Mần, Xín Mần
Bắc Quang, Bắc Quang
Quang Bình, Quang Bình
Cao Bằng, Cao Bằng
Bảo Lâm, Bảo Lâm
Bảo Lạc, Bảo Lạc
Hà Quảng, Hà Quảng
Trùng Khánh, Trùng Khánh
Hạ Lang, Hạ Lang
Quảng Hòa, Quảng Hòa
Hoà An, Hoà An
Nguyên Bình, Nguyên Bình
Thạch An, Thạch An
Bắc Kạn, Bắc Kạn
Pác Nặm, Pác Nặm
Ba Bể, Ba Bể
Ngân Sơn, Ngân Sơn
Bạch Thông, Bạch Thông
Chợ Đồn, Chợ Đồn
Chợ Mới, Chợ Mới
Na Rì, Na Rì
Tuyên Quang, Tuyên Quang
Lâm Bình, Lâm Bình
Na Hang, Na Hang
Chiêm Hóa, Chiêm Hóa
Hàm Yên, Hàm Yên
Yên Sơn, Yên Sơn
Sơn Dương, Sơn Dương
Lào Cai, Lào Cai
Bát Xát, Bát Xát
Mường Khương, Mường Khương
Si Ma Cai, Si Ma Cai
Bắc Hà, Bắc Hà
Bảo Thắng, Bảo Thắng
Bảo Yên, Bảo Yên
Sa Pa, Sa Pa
Văn Bàn, Văn Bàn
Điện Biên Phủ, Điện Biên Phủ
Mường Lay, Mường Lay
Mường Nhé, Mường Nhé
Mường Chà, Mường Chà
Tủa Chùa, Tủa Chùa
Tuần Giáo, Tuần Giáo
Điện Biên, Điện Biên
Điện Biên Đông, Điện Biên Đông
Mường Ảng, Mường Ảng
Nậm Pồ, Nậm Pồ
Lai Châu, Lai Châu
Tam Đường, Tam Đường
Mường Tè, Mường Tè
Sìn Hồ, Sìn Hồ
Phong Thổ, Phong Thổ
Than Uyên, Than Uyên
Tân Uyên, Tân Uyên
Nậm Nhùn, Nậm Nhùn
Sơn La, Sơn La
Quỳnh Nhai, Quỳnh Nhai
Thuận Châu, Thuận Châu
Mường La, Mường La
Bắc Yên, Bắc Yên
Phù Yên, Phù Yên
Mộc Châu, Mộc Châu
Yên Châu, Yên Châu
Mai Sơn, Mai Sơn
Sông Mã, Sông Mã
Sốp Cộp, Sốp Cộp
Vân Hồ, Vân Hồ
Yên Bái, Yên Bái
Nghĩa Lộ, Nghĩa Lộ
Lục Yên, Lục Yên
Văn Yên, Văn Yên
Mù Căng Chải, Mù Căng Chải
Trấn Yên, Trấn Yên
Trạm Tấu, Trạm Tấu
Văn Chấn, Văn Chấn
Yên Bình, Yên Bình
Hòa Bình, Hòa Bình
Đà Bắc, Đà Bắc
Lương Sơn, Lương Sơn
Kim Bôi, Kim Bôi
Cao Phong, Cao Phong
Tân Lạc, Tân Lạc
Mai Châu, Mai Châu
Lạc Sơn, Lạc Sơn
Yên Thủy, Yên Thủy
Lạc Thủy, Lạc Thủy
