name,value
Phúc Xá, Phúc Xá
Trúc Bạch, Trúc Bạch
Vĩnh Phúc, Vĩnh Phúc
Cống Vị, Cống Vị
Liễu Giai, Liễu Giai
Nguyễn Trung Trực, Nguyễn Trung Trực
Quán Thánh, Quán Thánh
Ngọc Hà, Ngọc Hà
Điện Biên, Điện Biên
Đội Cấn, Đội Cấn
Ngọc Khánh, Ngọc Khánh
Kim Mã, Kim Mã
Giảng Võ, Giảng Võ
Thành Công, Thành Công
Phúc Tân, Phúc Tân
Đồng Xuân, Đồng Xuân
Hàng Mã, Hàng Mã
Hàng Buồm, Hàng Buồm
Hàng Đào, Hàng Đào
Hàng Bồ, Hàng Bồ
Cửa Đông, Cửa Đông
Lý Thái Tổ, Lý Thái Tổ
Hàng Bạc, Hàng Bạc
Hàng Gai, Hàng Gai
Chương Dương, Chương Dương
Hàng Trống, Hàng Trống
Cửa Nam, Cửa Nam
Hàng Bông, Hàng Bông
Tràng Tiền, Tràng Tiền
Trần Hưng Đạo, Trần Hưng Đạo
Phan Chu Trinh, Phan Chu Trinh
Hàng Bài, Hàng Bài
Phú Thượng, Phú Thượng
Nhật Tân, Nhật Tân
Tứ Liên, Tứ Liên
Quảng An, Quảng An
Xuân La, Xuân La
Yên Phụ, Yên Phụ
Bưởi, Bưởi
Thụy Khuê, Thụy Khuê
Thượng Thanh, Thượng Thanh
Ngọc Thụy, Ngọc Thụy
Giang Biên, Giang Biên
Đức Giang, Đức Giang
Việt Hưng, Việt Hưng
Gia Thụy, Gia Thụy
Ngọc Lâm, Ngọc Lâm
Phúc Lợi, Phúc Lợi
Bồ Đề, Bồ Đề
Sài Đồng, Sài Đồng
Long Biên, Long Biên
Thạch Bàn, Thạch Bàn
Phúc Đồng, Phúc Đồng
Cự Khối, Cự Khối
Nghĩa Đô, Nghĩa Đô
Nghĩa Tân, Nghĩa Tân
Mai Dịch, Mai Dịch
Dịch Vọng, Dịch Vọng
Dịch Vọng Hậu, Dịch Vọng Hậu
Quan Hoa, Quan Hoa
Yên Hoà, Yên Hoà
Trung Hoà, Trung Hoà
Cát Linh, Cát Linh
Văn Miếu, Văn Miếu
Quốc Tử Giám, Quốc Tử Giám
Láng Thượng, Láng Thượng
Ô Chợ Dừa, Ô Chợ Dừa
Văn Chương, Văn Chương
Hàng Bột, Hàng Bột
Láng Hạ, Láng Hạ
Khâm Thiên, Khâm Thiên
Thổ Quan, Thổ Quan
Nam Đồng, Nam Đồng
Trung Phụng, Trung Phụng
Quang Trung, Quang Trung
Trung Liệt, Trung Liệt
Phương Liên, Phương Liên
Thịnh Quang, Thịnh Quang
Trung Tự, Trung Tự
Kim Liên, Kim Liên
Phương Mai, Phương Mai
Ngã Tư Sở, Ngã Tư Sở
Khương Thượng, Khương Thượng
Nguyễn Du, Nguyễn Du
Bạch Đằng, Bạch Đằng
Phạm Đình Hổ, Phạm Đình Hổ
Lê Đại Hành, Lê Đại Hành
Đồng Nhân, Đồng Nhân
Phố Huế, Phố Huế
Đống Mác, Đống Mác
Thanh Lương, Thanh Lương
Thanh Nhàn, Thanh Nhàn
Cầu Dền, Cầu Dền
Bách Khoa, Bách Khoa
