city_name,district_name,ward_name
Hà Nội,Ba Đình,Phúc Xá
Hà Nội,Ba Đình,Trúc Bạch
Hà Nội,Ba Đình,Vĩnh Phúc
Hà Nội,Ba Đình,Cống Vị
Hà Nội,Ba Đình,Liễu Giai
Hà Nội,Ba Đình,Nguyễn Trung Trực
Hà Nội,Ba Đình,Quán Thánh
Hà Nội,Ba Đình,Ngọc Hà
Hà Nội,Ba Đình,Điện Biên
Hà Nội,Ba Đình,Đội Cấn
Hà Nội,Ba Đình,Ngọc Khánh
Hà Nội,Ba Đình,Kim Mã
Hà Nội,Ba Đình,Giảng Võ
Hà Nội,Ba Đình,Thành Công
Hà Nội,Hoàn Kiếm,Phúc Tân
Hà Nội,Hoàn Kiếm,Đồng Xuân
Hà Nội,Hoàn Kiếm,Hàng Mã
Hà Nội,Hoàn Kiếm,Hàng Buồm
Hà Nội,Hoàn Kiếm,Hàng Đào
Hà Nội,Hoàn Kiếm,Hàng Bồ
Hà Nội,Hoàn Kiếm,Cửa Đông
Hà Nội,Hoàn Kiếm,Lý Thái Tổ
Hà Nội,Hoàn Kiếm,Hàng Bạc
Hà Nội,Hoàn Kiếm,Hàng Gai
Hà Nội,Hoàn Kiếm,Chương Dương
Hà Nội,Hoàn Kiếm,Hàng Trống
Hà Nội,Hoàn Kiếm,Cửa Nam
Hà Nội,Hoàn Kiếm,Hàng Bông
Hà Nội,Hoàn Kiếm,Tràng Tiền
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo
Hà Nội,Hoàn Kiếm,Phan Chu Trinh
Hà Nội,Hoàn Kiếm,Hàng Bài
Hà Nội,Tây Hồ,Phú Thượng
Hà Nội,Tây Hồ,Nhật Tân
Hà Nội,Tây Hồ,Tứ Liên
Hà Nội,Tây Hồ,Quảng An
Hà Nội,Tây Hồ,Xuân La
Hà Nội,Tây Hồ,Yên Phụ
Hà Nội,Tây Hồ,Bưởi
Hà Nội,Tây Hồ,Thụy Khuê
Hà Nội,Long Biên,Thượng Thanh
Hà Nội,Long Biên,Ngọc Thụy
Hà Nội,Long Biên,Giang Biên
Hà Nội,Long Biên,Đức Giang
Hà Nội,Long Biên,Việt Hưng
Hà Nội,Long Biên,Gia Thụy
Hà Nội,Long Biên,Ngọc Lâm
Hà Nội,Long Biên,Phúc Lợi
Hà Nội,Long Biên,Bồ Đề
Hà Nội,Long Biên,Sài Đồng
Hà Nội,Long Biên,Long Biên
Hà Nội,Long Biên,Thạch Bàn
Hà Nội,Long Biên,Phúc Đồng
Hà Nội,Long Biên,Cự Khối
Hà Nội,Cầu Giấy,Nghĩa Đô
Hà Nội,Cầu Giấy,Nghĩa Tân
Hà Nội,Cầu Giấy,Mai Dịch
Hà Nội,Cầu Giấy,Dịch Vọng
